aoi,cache,whittle,V,policy
256,1,-0.00037252530455589294,-2659.9999999999986,0
257,0,9.999696750193834,-2569.9999999999986,1
257,1,-0.00037252530455589294,-2669.9999999999986,0
258,0,97.65564596280456,-2579.9999999999986,1
258,1,-0.00037252530455589294,-2679.9999999999986,0
259,0,9.999696750193834,-2589.9999999999986,1
259,1,-0.00037252530455589294,-2689.9999999999986,0
260,0,12.302648182958364,-2599.9999999999986,1
260,1,-0.00037252530455589294,-2699.9999999999986,0
261,0,9.999696750193834,-2609.9999999999986,1
261,1,-0.00037252530455589294,-2709.9999999999986,0
262,0,9.999696750193834,-2619.9999999999986,1
262,1,-0.00037252530455589294,-2719.9999999999986,0
263,0,9.999696750193834,-2629.9999999999986,1
263,1,-0.00037252530455589294,-2729.9999999999986,0
264,0,9.999696750193834,-2639.9999999999986,1
264,1,-0.00037252530455589294,-2739.9999999999986,0
265,0,9.999696750193834,-2649.9999999999986,1
265,1,-0.00037252530455589294,-2749.9999999999986,0
266,0,61.0378986261785,-2659.9999999999986,1
266,1,-0.00037252530455589294,-2759.9999999999986,0
267,0,97.65564596280456,-2669.9999999999986,1
267,1,-0.00037252530455589294,-2769.9999999999986,0
268,0,12.210261907428503,-2679.9999999999986,1
268,1,-0.00037252530455589294,-2779.9999999999986,0
269,0,98.03711187466979,-2689.9999999999986,1
269,1,-0.00037252530455589294,-2789.9999999999986,0
270,0,9.999696750193834,-2699.9999999999986,1
270,1,-0.00037252530455589294,-2799.9999999999986,0
271,0,97.65564596280456,-2709.9999999999986,1
271,1,-0.00037252530455589294,-2809.9999999999986,0
272,0,48.830989446491,-2719.9999999999986,1
272,1,-0.00037252530455589294,-2819.9999999999986,0
273,0,9.999696750193834,-2729.9999999999986,1
273,1,-0.00037252530455589294,-2829.9999999999986,0
274,0,97.65564596280456,-2739.9999999999986,1
274,1,-0.00037252530455589294,-2839.9999999999986,0
275,0,9.999696750193834,-2749.9999999999986,1
275,1,-0.00037252530455589294,-2849.9999999999986,0
276,0,10.002676952630281,-2759.9999999999986,1
276,1,-0.00037252530455589294,-2859.9999999999986,0
277,0,9.999696750193834,-2769.9999999999986,1
277,1,-0.00037252530455589294,-2869.9999999999986,0
278,0,9.999696750193834,-2779.9999999999986,1
278,1,-0.00037252530455589294,-2879.9999999999986,0
279,0,9.999696750193834,-2789.9999999999986,1
279,1,-0.00037252530455589294,-2889.9999999999986,0
280,0,9.999696750193834,-2799.9999999999986,1
